percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco,categoria
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,272388.0,450614.0,178225.0,624350.0,0.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,47595914.0,1.0,0.1698113207547169,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,11000.0,0.0,0.0,0.0,0.0,756924.0,0.0,0.490566037735849,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,15000.0,0.0,0.0,0.0,0.0,2179468.0,1.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,15000.0,0.0,0.0,0.0,0.0,1019546.0,1.0,0.5471698113207547,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,10000.0,0.0,0.0,0.0,0.0,311260.0,1.0,0.490566037735849,Ruim
0.0,ReprovadoAnalista,De 11 a 30 % - Baixo,20000.0,2268831.0,10487000.0,17603497.0,1931629.0,438103964.0,1.0,0.3018867924528301,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,7000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3773584905660377,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,43810396.0,1.0,0.4716981132075471,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,40000.0,0.0,0.0,0.0,0.0,3101081.0,0.9946541086,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,6230653.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,333210.0,1.0,0.2641509433962264,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,15000.0,0.0,0.0,0.0,0.0,1285274.0,0.0,0.5471698113207547,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,100000.0,772841.0,846020.0,4149907.0,521942.0,117090514.0,1.0,0.2264150943396226,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,2876710.0,0.0,0.3773584905660377,Ruim
0.0,ReprovadoAnalista,De 51 a 80 % - Alto,20000.0,0.0,0.0,0.0,0.0,8983936.0,0.9626872291,0.5283018867924528,Ruim
0.0,ReprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,2498876.0,1.0,0.3584905660377358,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,40000.0,0.0,0.0,0.0,0.0,10631840.0,0.0,0.5849056603773584,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,50000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4528301886792452,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,150000.0,0.0,-355509.0,922394.0,50000.0,2920793.0,1.0,0.3962264150943396,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,30000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.490566037735849,Ruim
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,25000.0,0.0,7753324.0,12270860.0,4517535.0,73828034.0,1.0,0.0566037735849056,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,0.0,0.0,0.0,3365514.0,1.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,20000.0,0.0,890140.0,627034.0,460656.0,1177807.0,1.0,0.2830188679245283,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,20000.0,0.0,0.0,0.0,0.0,2518727.0,1.0,0.3773584905660377,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,0.0,188269.0,728846.0,1402031.0,1249651.0,0.0,0.320754716981132,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,10000.0,0.0,0.0,0.0,0.0,1185074.0,0.8178895877,0.6226415094339622,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,10000.0,0.0,0.0,0.0,0.0,1700308.0,0.0,0.4528301886792452,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 11 a 30 % - Baixo,100000.0,0.0,7804759.0,12351125.0,801768.0,11235564.0,0.0,0.1698113207547169,Ruim
0.0,DocumentacaoReprovada,De 0 a 10 % - Muito Baixo,20000.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Ruim
0.0,AprovadoAnalista,De 31 a 50 % - Médio,40000.0,0.0,0.0,0.0,0.0,3302878.0,0.0,0.3584905660377358,Ruim
0.0,AprovadoAnalista,De 51 a 80 % - Alto,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5471698113207547,Ruim
