percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco,categoria
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,1500000.0,0.0,19008239.0,45895093.0,21492863.0,36989387.0,1.0,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,50000.0,0.0,7753324.0,12270860.0,4517535.0,73828034.0,1.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,100000.0,0.0,1269604.0,3323683.0,2054079.0,13983957.0,0.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,100000.0,0.0,200293.0,828100.0,627807.0,1900333.0,1.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,350000.0,0.0,86939285.0,155477441.0,67765135.0,219572527.0,0.9935589652,0.1071428571428571,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,1400000.0,0.0,49147072.0,81720910.0,31308354.0,37122463.0,0.9999930711,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,300000.0,0.0,6267159.0,26799987.0,20532827.0,11264905.0,0.9837729653,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,200000.0,0.0,28802791.0,35069468.0,6266676.0,84443992.0,0.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,1500000.0,0.0,19008239.0,45895093.0,21492863.0,36989387.0,0.9888857194,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,700000.0,0.0,49147072.0,81720910.0,31208354.0,37122463.0,0.9886222613,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,100000.0,0.0,766760.0,12451455.0,11684694.0,6941291.0,1.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,414100.0,2516739.0,2102638.0,8582943.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,100000.0,0.0,7769243.0,12774152.0,3127679.0,21492072.0,1.0,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,600000.0,0.0,12005993.0,17837929.0,5831936.0,25038845.0,0.9370702299,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,70000.0,0.0,3894602.0,28680640.0,24785638.0,31519757.0,1.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,50000.0,0.0,1036364.0,3830001.0,2061973.0,2426522.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,60000.0,0.0,18458725.0,30795864.0,12288169.0,73827926.0,1.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,200000.0,0.0,1265213.0,3622898.0,2310579.0,17591660.0,1.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,50000.0,0.0,562601.0,4822920.0,3999662.0,5150870.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,7367297.0,21585739.0,14218442.0,30541314.0,1.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,80000.0,0.0,1332062.0,3954907.0,2622845.0,4979494.0,0.9919593816,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,1500000.0,0.0,9506982.0,32274979.0,22466956.0,22568218.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,1100000.0,0.0,19008239.0,45895093.0,21492863.0,369893887.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,50000.0,0.0,7657273.0,61219436.0,53562162.0,42267812.0,0.8644430654,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,750000.0,0.0,6689798.0,30966825.0,24277024.0,56461757.0,1.0,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,1500000.0,0.0,49147072.0,81720910.0,31208354.0,37122463.0,0.9886222613,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,1500000.0,0.0,49147072.0,81720910.0,31308354.0,37122463.0,0.9999930711,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,70000.0,0.0,7657273.0,61219436.0,53562162.0,42267812.0,0.8644430654,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,60000.0,0.0,13008508.0,9984078.0,3510185.0,80404212.0,1.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,120000.0,0.0,2200921.0,4517091.0,2316169.0,8833287.0,1.0,0.0535714285714285,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,150000.0,0.0,2091504.0,15041556.0,12950051.0,24566802.0,1.0,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,700000.0,0.0,9958000.0,0.0,4089000.0,19930000.0,0.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,400000.0,0.0,49943000.0,1768742000.0,1116493000.0,1808539000.0,1.0,0.0357142857142857,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,390000.0,0.0,7302151.0,12108532.0,4665598.0,9147814.0,1.0,0.0714285714285714,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,500000.0,0.0,4106484.0,6738012.0,2631527.0,9046276.0,0.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,140000.0,0.0,596942.0,1846246.0,1328037.0,4935489.0,1.0,0.1071428571428571,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,150000.0,0.0,337703.0,5841069.0,5503365.0,10472589.0,0.0,0.0357142857142857,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,300000.0,0.0,5622060.0,13392493.0,7190866.0,15021048.0,1.0,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,420000.0,0.0,3451560.0,15229880.0,11778319.0,47530891.0,0.9895547454,0.0892857142857142,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,220000.0,0.0,7367297.0,21585739.0,14218442.0,30541314.0,1.0,0.0357142857142857,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,600000.0,0.0,15506603.0,38920011.0,23156684.0,108249535.0,0.9999303945,0.0892857142857142,Bom
0.0,AprovadoComite,De 0 a 10 % - Muito Baixo,160000.0,0.0,305643.0,24082649.0,23777006.0,19468648.0,1.0,0.0535714285714285,Bom
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,80000.0,0.0,455952.0,3552815.0,3096863.0,6785212.0,1.0,0.0892857142857142,Bom
