percentualProtestos,status,definicaoRisco,valorAprovado,endividamento,passivoCirculante,totalAtivo,totalPatrimonioLiquido,faturamentoBruto,scorePontualidade,percentualRisco
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,200000.0,0.0,3487354.0,19295009.0,15796149.0,11882879.0,1.0,0.0
0.0,AprovadoAnalista,De 0 a 10 % - Muito Baixo,145000.0,0.0,10407632.0,14369543.0,3959940.0,61923384.0,1.0,0.0
